date,precipitation,temp_max,temp_min,wind,weather,cycle,Drizzle,Rain,Sun,Snow,Fog
1/1/12,0,12.8,5,4.7,drizzle,1/1/90,12.8,#N/A,#N/A,#N/A,#N/A
1/2/12,10.9,10.6,2.8,4.5,rain,1/2/90,#N/A,10.6,#N/A,#N/A,#N/A
1/3/12,0.8,11.7,7.2,2.3,rain,1/3/90,#N/A,11.7,#N/A,#N/A,#N/A
1/4/12,20.3,12.2,5.6,4.7,rain,1/4/90,#N/A,12.2,#N/A,#N/A,#N/A
1/5/12,1.3,8.9,2.8,6.1,rain,1/5/90,#N/A,8.9,#N/A,#N/A,#N/A
1/6/12,2.5,4.4,2.2,2.2,rain,1/6/90,#N/A,4.4,#N/A,#N/A,#N/A
1/7/12,0,7.2,2.8,2.3,rain,1/7/90,#N/A,7.2,#N/A,#N/A,#N/A
1/8/12,0,10,2.8,2,sun,1/8/90,#N/A,#N/A,10,#N/A,#N/A
1/9/12,4.3,9.4,5,3.4,rain,1/9/90,#N/A,9.4,#N/A,#N/A,#N/A
1/10/12,1,6.1,0.6,3.4,rain,1/10/90,#N/A,6.1,#N/A,#N/A,#N/A
1/11/12,0,6.1,-1.1,5.1,sun,1/11/90,#N/A,#N/A,6.1,#N/A,#N/A
1/12/12,0,6.1,-1.7,1.9,sun,1/12/90,#N/A,#N/A,6.1,#N/A,#N/A
1/13/12,0,5,-2.8,1.3,sun,1/13/90,#N/A,#N/A,5,#N/A,#N/A
1/14/12,4.1,4.4,0.6,5.3,snow,1/14/90,#N/A,#N/A,#N/A,4.4,#N/A
1/15/12,5.3,1.1,-3.3,3.2,snow,1/15/90,#N/A,#N/A,#N/A,1.1,#N/A
1/16/12,2.5,1.7,-2.8,5,snow,1/16/90,#N/A,#N/A,#N/A,1.7,#N/A
1/17/12,8.1,3.3,0,5.6,snow,1/17/90,#N/A,#N/A,#N/A,3.3,#N/A
1/18/12,19.8,0,-2.8,5,snow,1/18/90,#N/A,#N/A,#N/A,0,#N/A
1/19/12,15.2,-1.1,-2.8,1.6,snow,1/19/90,#N/A,#N/A,#N/A,-1.1,#N/A
1/20/12,13.5,7.2,-1.1,2.3,snow,1/20/90,#N/A,#N/A,#N/A,7.2,#N/A
1/21/12,3,8.3,3.3,8.2,rain,1/21/90,#N/A,8.3,#N/A,#N/A,#N/A
1/22/12,6.1,6.7,2.2,4.8,rain,1/22/90,#N/A,6.7,#N/A,#N/A,#N/A
1/23/12,0,8.3,1.1,3.6,rain,1/23/90,#N/A,8.3,#N/A,#N/A,#N/A
1/24/12,8.6,10,2.2,5.1,rain,1/24/90,#N/A,10,#N/A,#N/A,#N/A
1/25/12,8.1,8.9,4.4,5.4,rain,1/25/90,#N/A,8.9,#N/A,#N/A,#N/A
1/26/12,4.8,8.9,1.1,4.8,rain,1/26/90,#N/A,8.9,#N/A,#N/A,#N/A
1/27/12,0,6.7,-2.2,1.4,drizzle,1/27/90,6.7,#N/A,#N/A,#N/A,#N/A
1/28/12,0,6.7,0.6,2.2,rain,1/28/90,#N/A,6.7,#N/A,#N/A,#N/A
1/29/12,27.7,9.4,3.9,4.5,rain,1/29/90,#N/A,9.4,#N/A,#N/A,#N/A
1/30/12,3.6,8.3,6.1,5.1,rain,1/30/90,#N/A,8.3,#N/A,#N/A,#N/A
1/31/12,1.8,9.4,6.1,3.9,rain,1/31/90,#N/A,9.4,#N/A,#N/A,#N/A
2/1/12,13.5,8.9,3.3,2.7,rain,2/1/90,#N/A,8.9,#N/A,#N/A,#N/A
2/2/12,0,8.3,1.7,2.6,sun,2/2/90,#N/A,#N/A,8.3,#N/A,#N/A
2/3/12,0,14.4,2.2,5.3,sun,2/3/90,#N/A,#N/A,14.4,#N/A,#N/A
2/4/12,0,15.6,5,4.3,sun,2/4/90,#N/A,#N/A,15.6,#N/A,#N/A
2/5/12,0,13.9,1.7,2.9,sun,2/5/90,#N/A,#N/A,13.9,#N/A,#N/A
2/6/12,0,16.1,1.7,5,sun,2/6/90,#N/A,#N/A,16.1,#N/A,#N/A
2/7/12,0.3,15.6,7.8,5.3,rain,2/7/90,#N/A,15.6,#N/A,#N/A,#N/A
2/8/12,2.8,10,5,2.7,rain,2/8/90,#N/A,10,#N/A,#N/A,#N/A
2/9/12,2.5,11.1,7.8,2.4,rain,2/9/90,#N/A,11.1,#N/A,#N/A,#N/A
2/10/12,2.5,12.8,6.7,3,rain,2/10/90,#N/A,12.8,#N/A,#N/A,#N/A
2/11/12,0.8,8.9,5.6,3.4,rain,2/11/90,#N/A,8.9,#N/A,#N/A,#N/A
2/12/12,1,8.3,5,1.3,rain,2/12/90,#N/A,8.3,#N/A,#N/A,#N/A
2/13/12,11.4,7.2,4.4,1.4,rain,2/13/90,#N/A,7.2,#N/A,#N/A,#N/A
2/14/12,2.5,6.7,1.1,3.1,rain,2/14/90,#N/A,6.7,#N/A,#N/A,#N/A
2/15/12,0,7.2,0.6,1.8,drizzle,2/15/90,7.2,#N/A,#N/A,#N/A,#N/A
2/16/12,1.8,7.2,3.3,2.1,rain,2/16/90,#N/A,7.2,#N/A,#N/A,#N/A
2/17/12,17.3,10,4.4,3.4,rain,2/17/90,#N/A,10,#N/A,#N/A,#N/A
2/18/12,6.4,6.7,3.9,8.1,rain,2/18/90,#N/A,6.7,#N/A,#N/A,#N/A
2/19/12,0,6.7,2.2,4.7,sun,2/19/90,#N/A,#N/A,6.7,#N/A,#N/A
2/20/12,3,7.8,1.7,2.9,rain,2/20/90,#N/A,7.8,#N/A,#N/A,#N/A
2/21/12,0.8,10,7.8,7.5,rain,2/21/90,#N/A,10,#N/A,#N/A,#N/A
2/22/12,8.6,10,2.8,5.9,rain,2/22/90,#N/A,10,#N/A,#N/A,#N/A
2/23/12,0,8.3,2.8,3.9,sun,2/23/90,#N/A,#N/A,8.3,#N/A,#N/A
2/24/12,11.4,6.7,4.4,3.5,rain,2/24/90,#N/A,6.7,#N/A,#N/A,#N/A
2/25/12,0,7.2,2.8,6.4,rain,2/25/90,#N/A,7.2,#N/A,#N/A,#N/A
2/26/12,1.3,5,-1.1,3.4,snow,2/26/90,#N/A,#N/A,#N/A,5,#N/A
2/27/12,0,6.7,-2.2,3,sun,2/27/90,#N/A,#N/A,6.7,#N/A,#N/A
2/28/12,3.6,6.7,-0.6,4.2,snow,2/28/90,#N/A,#N/A,#N/A,6.7,#N/A
3/1/12,0,6.1,1.1,3.1,sun,3/1/90,#N/A,#N/A,6.1,#N/A,#N/A
3/2/12,2,6.7,3.9,5.1,rain,3/2/90,#N/A,6.7,#N/A,#N/A,#N/A
3/3/12,0,12.2,6.7,7,sun,3/3/90,#N/A,#N/A,12.2,#N/A,#N/A
3/4/12,0,10.6,6.7,5.6,rain,3/4/90,#N/A,10.6,#N/A,#N/A,#N/A
3/5/12,6.9,7.8,1.1,6.2,rain,3/5/90,#N/A,7.8,#N/A,#N/A,#N/A
3/6/12,0.5,6.7,0,2.7,snow,3/6/90,#N/A,#N/A,#N/A,6.7,#N/A
3/7/12,0,8.9,-1.7,2.7,sun,3/7/90,#N/A,#N/A,8.9,#N/A,#N/A
3/8/12,0,15.6,0.6,2.5,sun,3/8/90,#N/A,#N/A,15.6,#N/A,#N/A
3/9/12,3.6,9.4,5,2.8,rain,3/9/90,#N/A,9.4,#N/A,#N/A,#N/A
3/10/12,10.4,7.2,6.1,3.4,rain,3/10/90,#N/A,7.2,#N/A,#N/A,#N/A
3/11/12,13.7,6.7,2.8,5.8,rain,3/11/90,#N/A,6.7,#N/A,#N/A,#N/A
3/12/12,19.3,8.3,0.6,6.2,snow,3/12/90,#N/A,#N/A,#N/A,8.3,#N/A
3/13/12,9.4,5.6,0.6,5.3,snow,3/13/90,#N/A,#N/A,#N/A,5.6,#N/A
3/14/12,8.6,7.8,1.1,4.7,rain,3/14/90,#N/A,7.8,#N/A,#N/A,#N/A
3/15/12,23.9,11.1,5.6,5.8,snow,3/15/90,#N/A,#N/A,#N/A,11.1,#N/A
3/16/12,8.4,8.9,3.9,5.1,rain,3/16/90,#N/A,8.9,#N/A,#N/A,#N/A
3/17/12,9.4,10,0.6,3.8,snow,3/17/90,#N/A,#N/A,#N/A,10,#N/A
3/18/12,3.6,5,-0.6,2.7,rain,3/18/90,#N/A,5,#N/A,#N/A,#N/A
3/19/12,2,7.2,-1.1,3,rain,3/19/90,#N/A,7.2,#N/A,#N/A,#N/A
3/20/12,3.6,7.8,2.2,6.4,rain,3/20/90,#N/A,7.8,#N/A,#N/A,#N/A
3/21/12,1.3,8.9,1.1,2.5,rain,3/21/90,#N/A,8.9,#N/A,#N/A,#N/A
3/22/12,4.1,10,1.7,2.1,rain,3/22/90,#N/A,10,#N/A,#N/A,#N/A
3/23/12,0,12.2,0.6,2.8,sun,3/23/90,#N/A,#N/A,12.2,#N/A,#N/A
3/24/12,0,15,3.3,5.2,sun,3/24/90,#N/A,#N/A,15,#N/A,#N/A
3/25/12,0,13.3,2.2,2.7,rain,3/25/90,#N/A,13.3,#N/A,#N/A,#N/A
3/26/12,0,12.8,6.1,4.3,drizzle,3/26/90,12.8,#N/A,#N/A,#N/A,#N/A
3/27/12,4.8,14.4,6.7,3.8,rain,3/27/90,#N/A,14.4,#N/A,#N/A,#N/A
3/28/12,1.3,10.6,7.2,5.9,rain,3/28/90,#N/A,10.6,#N/A,#N/A,#N/A
3/29/12,27.4,10,6.1,4.4,rain,3/29/90,#N/A,10,#N/A,#N/A,#N/A
3/30/12,5.6,9.4,5,4.7,rain,3/30/90,#N/A,9.4,#N/A,#N/A,#N/A
3/31/12,13.2,10,2.8,3.4,rain,3/31/90,#N/A,10,#N/A,#N/A,#N/A
4/1/12,1.5,8.9,4.4,6.8,rain,4/1/90,#N/A,8.9,#N/A,#N/A,#N/A
4/2/12,0,16.7,4.4,3.1,sun,4/2/90,#N/A,#N/A,16.7,#N/A,#N/A
4/3/12,1.5,11.7,3.3,3.1,rain,4/3/90,#N/A,11.7,#N/A,#N/A,#N/A
4/4/12,0,10.6,2.8,2.1,sun,4/4/90,#N/A,#N/A,10.6,#N/A,#N/A
4/5/12,4.6,9.4,2.8,1.8,snow,4/5/90,#N/A,#N/A,#N/A,9.4,#N/A
4/6/12,0.3,11.1,3.3,2.6,rain,4/6/90,#N/A,11.1,#N/A,#N/A,#N/A
4/7/12,0,16.1,1.7,4.3,sun,4/7/90,#N/A,#N/A,16.1,#N/A,#N/A
4/8/12,0,21.1,7.2,4.1,sun,4/8/90,#N/A,#N/A,21.1,#N/A,#N/A
4/9/12,0,20,6.1,2.1,sun,4/9/90,#N/A,#N/A,20,#N/A,#N/A
4/10/12,0,17.8,8.9,3.2,rain,4/10/90,#N/A,17.8,#N/A,#N/A,#N/A
4/11/12,2.3,11.1,7.2,2.6,rain,4/11/90,#N/A,11.1,#N/A,#N/A,#N/A
4/12/12,0.5,13.9,5.6,2.6,rain,4/12/90,#N/A,13.9,#N/A,#N/A,#N/A
4/13/12,0,15,3.9,4,drizzle,4/13/90,15,#N/A,#N/A,#N/A,#N/A
4/14/12,0,15.6,3.3,3,sun,4/14/90,#N/A,#N/A,15.6,#N/A,#N/A
4/15/12,0,16.1,7.2,2.9,rain,4/15/90,#N/A,16.1,#N/A,#N/A,#N/A
4/16/12,8.1,13.3,6.7,5.8,rain,4/16/90,#N/A,13.3,#N/A,#N/A,#N/A
4/17/12,1.8,10,4.4,2,rain,4/17/90,#N/A,10,#N/A,#N/A,#N/A
4/18/12,1.8,13.3,7.2,3.9,rain,4/18/90,#N/A,13.3,#N/A,#N/A,#N/A
4/19/12,10.9,13.9,5,2.6,rain,4/19/90,#N/A,13.9,#N/A,#N/A,#N/A
4/20/12,6.6,13.3,6.7,2.7,rain,4/20/90,#N/A,13.3,#N/A,#N/A,#N/A
4/21/12,0,20,4.4,2.3,sun,4/21/90,#N/A,#N/A,20,#N/A,#N/A
4/22/12,0,23.3,8.3,2.6,rain,4/22/90,#N/A,23.3,#N/A,#N/A,#N/A
4/23/12,0,21.7,8.9,3.5,sun,4/23/90,#N/A,#N/A,21.7,#N/A,#N/A
4/24/12,4.3,13.9,10,2.8,rain,4/24/90,#N/A,13.9,#N/A,#N/A,#N/A
4/25/12,10.7,16.7,8.9,2.6,rain,4/25/90,#N/A,16.7,#N/A,#N/A,#N/A
4/26/12,3.8,13.9,6.7,5.2,rain,4/26/90,#N/A,13.9,#N/A,#N/A,#N/A
4/27/12,0.8,13.3,6.1,4.8,rain,4/27/90,#N/A,13.3,#N/A,#N/A,#N/A
4/28/12,0,16.1,8.3,2.5,drizzle,4/28/90,16.1,#N/A,#N/A,#N/A,#N/A
4/29/12,4.3,15.6,8.9,1.6,rain,4/29/90,#N/A,15.6,#N/A,#N/A,#N/A
4/30/12,4.3,12.8,7.2,8,rain,4/30/90,#N/A,12.8,#N/A,#N/A,#N/A
5/1/12,0.5,11.7,6.1,6.4,rain,5/1/90,#N/A,11.7,#N/A,#N/A,#N/A
5/2/12,0.5,13.3,5.6,2.5,rain,5/2/90,#N/A,13.3,#N/A,#N/A,#N/A
5/3/12,18.5,11.1,7.2,3.4,rain,5/3/90,#N/A,11.1,#N/A,#N/A,#N/A
5/4/12,1.8,12.2,6.1,4.6,rain,5/4/90,#N/A,12.2,#N/A,#N/A,#N/A
5/5/12,0,13.3,5,2.3,sun,5/5/90,#N/A,#N/A,13.3,#N/A,#N/A
5/6/12,0,17.8,5,2.4,sun,5/6/90,#N/A,#N/A,17.8,#N/A,#N/A
5/7/12,0,23.9,6.1,2.2,sun,5/7/90,#N/A,#N/A,23.9,#N/A,#N/A
5/8/12,0,18.3,9.4,3,sun,5/8/90,#N/A,#N/A,18.3,#N/A,#N/A
5/9/12,0,13.3,6.7,3.9,rain,5/9/90,#N/A,13.3,#N/A,#N/A,#N/A
5/10/12,0,14.4,3.9,3,sun,5/10/90,#N/A,#N/A,14.4,#N/A,#N/A
5/11/12,0,18.3,4.4,4.3,sun,5/11/90,#N/A,#N/A,18.3,#N/A,#N/A
5/12/12,0,24.4,6.7,3.4,sun,5/12/90,#N/A,#N/A,24.4,#N/A,#N/A
5/13/12,0,25.6,9.4,4.2,sun,5/13/90,#N/A,#N/A,25.6,#N/A,#N/A
5/14/12,0,26.7,12.8,3.8,sun,5/14/90,#N/A,#N/A,26.7,#N/A,#N/A
5/15/12,0,24.4,9.4,4.1,drizzle,5/15/90,24.4,#N/A,#N/A,#N/A,#N/A
5/16/12,0,19.4,9.4,3.5,sun,5/16/90,#N/A,#N/A,19.4,#N/A,#N/A
5/17/12,0,17.8,6.7,2.9,rain,5/17/90,#N/A,17.8,#N/A,#N/A,#N/A
5/18/12,0,15.6,7.8,3.1,rain,5/18/90,#N/A,15.6,#N/A,#N/A,#N/A
5/19/12,0,19.4,7.2,1.5,sun,5/19/90,#N/A,#N/A,19.4,#N/A,#N/A
5/20/12,6.4,14.4,11.7,1.3,rain,5/20/90,#N/A,14.4,#N/A,#N/A,#N/A
5/21/12,14,16.7,10,4,rain,5/21/90,#N/A,16.7,#N/A,#N/A,#N/A
5/22/12,6.1,12.8,8.9,4.8,rain,5/22/90,#N/A,12.8,#N/A,#N/A,#N/A
5/23/12,0.3,14.4,8.9,6.3,rain,5/23/90,#N/A,14.4,#N/A,#N/A,#N/A
5/24/12,0,17.2,8.9,3.3,rain,5/24/90,#N/A,17.2,#N/A,#N/A,#N/A
5/25/12,0,22.2,8.9,3.1,rain,5/25/90,#N/A,22.2,#N/A,#N/A,#N/A
5/26/12,0,22.2,8.9,3.6,sun,5/26/90,#N/A,#N/A,22.2,#N/A,#N/A
5/27/12,0,17.2,11.7,3.7,sun,5/27/90,#N/A,#N/A,17.2,#N/A,#N/A
5/28/12,0,16.7,10,3.4,rain,5/28/90,#N/A,16.7,#N/A,#N/A,#N/A
5/29/12,0,16.1,7.8,1.8,sun,5/29/90,#N/A,#N/A,16.1,#N/A,#N/A
5/30/12,0.3,18.9,11.1,1.5,rain,5/30/90,#N/A,18.9,#N/A,#N/A,#N/A
5/31/12,3.8,17.8,12.2,2.7,rain,5/31/90,#N/A,17.8,#N/A,#N/A,#N/A
6/1/12,6.6,20,12.8,3.7,rain,6/1/90,#N/A,20,#N/A,#N/A,#N/A
6/2/12,0.3,18.9,10.6,3.7,rain,6/2/90,#N/A,18.9,#N/A,#N/A,#N/A
6/3/12,0,17.2,9.4,2.9,sun,6/3/90,#N/A,#N/A,17.2,#N/A,#N/A
6/4/12,1.3,12.8,8.9,3.1,rain,6/4/90,#N/A,12.8,#N/A,#N/A,#N/A
6/5/12,16,13.3,8.3,3.3,rain,6/5/90,#N/A,13.3,#N/A,#N/A,#N/A
6/6/12,0,16.1,6.1,3.4,sun,6/6/90,#N/A,#N/A,16.1,#N/A,#N/A
6/7/12,16.5,16.1,8.9,3.5,rain,6/7/90,#N/A,16.1,#N/A,#N/A,#N/A
6/8/12,1.5,15,8.3,3,rain,6/8/90,#N/A,15,#N/A,#N/A,#N/A
6/9/12,0,17.2,8.3,4.7,rain,6/9/90,#N/A,17.2,#N/A,#N/A,#N/A
6/10/12,0,18.9,10,2.9,sun,6/10/90,#N/A,#N/A,18.9,#N/A,#N/A
6/11/12,0,23.3,10,1.8,rain,6/11/90,#N/A,23.3,#N/A,#N/A,#N/A
6/12/12,0.8,18.3,12.8,3.9,rain,6/12/90,#N/A,18.3,#N/A,#N/A,#N/A
6/13/12,0,16.1,11.1,4.3,sun,6/13/90,#N/A,#N/A,16.1,#N/A,#N/A
6/14/12,0,17.2,10,2.7,sun,6/14/90,#N/A,#N/A,17.2,#N/A,#N/A
6/15/12,0,22.2,9.4,1.7,sun,6/15/90,#N/A,#N/A,22.2,#N/A,#N/A
6/16/12,0,21.1,15,4.1,rain,6/16/90,#N/A,21.1,#N/A,#N/A,#N/A
6/17/12,0,18.9,11.7,6.4,sun,6/17/90,#N/A,#N/A,18.9,#N/A,#N/A
6/18/12,3,17.2,10,3.8,rain,6/18/90,#N/A,17.2,#N/A,#N/A,#N/A
6/19/12,1,19.4,10,3,rain,6/19/90,#N/A,19.4,#N/A,#N/A,#N/A
6/20/12,0,24.4,10,3,sun,6/20/90,#N/A,#N/A,24.4,#N/A,#N/A
6/21/12,0,23.9,11.7,2.1,sun,6/21/90,#N/A,#N/A,23.9,#N/A,#N/A
6/22/12,15.7,13.9,11.7,1.9,rain,6/22/90,#N/A,13.9,#N/A,#N/A,#N/A
6/23/12,8.6,15.6,9.4,2.5,rain,6/23/90,#N/A,15.6,#N/A,#N/A,#N/A
6/24/12,0,19.4,9.4,2,drizzle,6/24/90,19.4,#N/A,#N/A,#N/A,#N/A
6/25/12,0.5,19.4,11.1,3.1,rain,6/25/90,#N/A,19.4,#N/A,#N/A,#N/A
6/26/12,0,18.3,10.6,3.4,rain,6/26/90,#N/A,18.3,#N/A,#N/A,#N/A
6/27/12,0,22.8,8.9,1.8,sun,6/27/90,#N/A,#N/A,22.8,#N/A,#N/A
6/28/12,0,22.2,11.7,2.5,rain,6/28/90,#N/A,22.2,#N/A,#N/A,#N/A
6/29/12,0.3,21.7,15,1.9,rain,6/29/90,#N/A,21.7,#N/A,#N/A,#N/A
6/30/12,3,20,13.3,2.4,rain,6/30/90,#N/A,20,#N/A,#N/A,#N/A
7/1/12,0,20,12.2,2.3,rain,7/1/90,#N/A,20,#N/A,#N/A,#N/A
7/2/12,2,18.9,11.7,2.1,rain,7/2/90,#N/A,18.9,#N/A,#N/A,#N/A
7/3/12,5.8,18.3,10.6,6,rain,7/3/90,#N/A,18.3,#N/A,#N/A,#N/A
7/4/12,0,20.6,9.4,3.8,sun,7/4/90,#N/A,#N/A,20.6,#N/A,#N/A
7/5/12,0,24.4,10.6,3.1,drizzle,7/5/90,24.4,#N/A,#N/A,#N/A,#N/A
7/6/12,0,25,11.1,2.1,sun,7/6/90,#N/A,#N/A,25,#N/A,#N/A
7/7/12,0,26.7,12.8,3.8,sun,7/7/90,#N/A,#N/A,26.7,#N/A,#N/A
7/8/12,0,28.3,14.4,2.8,rain,7/8/90,#N/A,28.3,#N/A,#N/A,#N/A
7/9/12,1.5,25,12.8,2,rain,7/9/90,#N/A,25,#N/A,#N/A,#N/A
7/10/12,0,23.9,11.1,2.3,drizzle,7/10/90,23.9,#N/A,#N/A,#N/A,#N/A
7/11/12,0,27.8,13.3,2.9,fog,7/11/90,#N/A,#N/A,#N/A,#N/A,27.8
7/12/12,0,25.6,13.3,2.7,drizzle,7/12/90,25.6,#N/A,#N/A,#N/A,#N/A
7/13/12,0.5,23.3,13.9,2.2,rain,7/13/90,#N/A,23.3,#N/A,#N/A,#N/A
7/14/12,0,25,15,2.2,rain,7/14/90,#N/A,25,#N/A,#N/A,#N/A
7/15/12,0,18.9,13.3,3.8,rain,7/15/90,#N/A,18.9,#N/A,#N/A,#N/A
7/16/12,0.3,26.1,13.3,2.5,rain,7/16/90,#N/A,26.1,#N/A,#N/A,#N/A
7/17/12,0,21.7,15,2.6,sun,7/17/90,#N/A,#N/A,21.7,#N/A,#N/A
7/18/12,0,21.1,14.4,2.9,sun,7/18/90,#N/A,#N/A,21.1,#N/A,#N/A
7/19/12,0,25,14.4,2.2,sun,7/19/90,#N/A,#N/A,25,#N/A,#N/A
7/20/12,15.2,19.4,13.9,4,rain,7/20/90,#N/A,19.4,#N/A,#N/A,#N/A
7/21/12,0,23.9,13.9,2.3,sun,7/21/90,#N/A,#N/A,23.9,#N/A,#N/A
7/22/12,1,20.6,12.2,3.9,rain,7/22/90,#N/A,20.6,#N/A,#N/A,#N/A
7/23/12,0,18.9,11.1,3.3,rain,7/23/90,#N/A,18.9,#N/A,#N/A,#N/A
7/24/12,0,23.3,12.2,4.3,sun,7/24/90,#N/A,#N/A,23.3,#N/A,#N/A
7/25/12,0,26.7,12.8,2.6,sun,7/25/90,#N/A,#N/A,26.7,#N/A,#N/A
7/26/12,0,25.6,12.8,2.2,drizzle,7/26/90,25.6,#N/A,#N/A,#N/A,#N/A
7/27/12,0,18.9,13.9,2.8,drizzle,7/27/90,18.9,#N/A,#N/A,#N/A,#N/A
7/28/12,0,22.2,13.3,1.7,drizzle,7/28/90,22.2,#N/A,#N/A,#N/A,#N/A
7/29/12,0,22.8,15,2,sun,7/29/90,#N/A,#N/A,22.8,#N/A,#N/A
7/30/12,0,19.4,13.3,3,sun,7/30/90,#N/A,#N/A,19.4,#N/A,#N/A
7/31/12,0,22.8,13.9,2.8,sun,7/31/90,#N/A,#N/A,22.8,#N/A,#N/A
8/1/12,0,23.9,13.3,2.2,drizzle,8/1/90,23.9,#N/A,#N/A,#N/A,#N/A
8/2/12,0,23.3,12.2,2.5,sun,8/2/90,#N/A,#N/A,23.3,#N/A,#N/A
8/3/12,0,27.2,12.8,3.9,sun,8/3/90,#N/A,#N/A,27.2,#N/A,#N/A
8/4/12,0,33.9,16.7,3.7,sun,8/4/90,#N/A,#N/A,33.9,#N/A,#N/A
8/5/12,0,33.9,17.8,1.9,sun,8/5/90,#N/A,#N/A,33.9,#N/A,#N/A
8/6/12,0,28.3,15.6,2.5,rain,8/6/90,#N/A,28.3,#N/A,#N/A,#N/A
8/7/12,0,21.1,15,2.6,drizzle,8/7/90,21.1,#N/A,#N/A,#N/A,#N/A
8/8/12,0,22.2,15,3.1,sun,8/8/90,#N/A,#N/A,22.2,#N/A,#N/A
8/9/12,0,24.4,14.4,3.8,drizzle,8/9/90,24.4,#N/A,#N/A,#N/A,#N/A
8/10/12,0,25.6,12.2,2.3,sun,8/10/90,#N/A,#N/A,25.6,#N/A,#N/A
8/11/12,0,28.3,13.3,2.5,sun,8/11/90,#N/A,#N/A,28.3,#N/A,#N/A
8/12/12,0,30.6,15,3,sun,8/12/90,#N/A,#N/A,30.6,#N/A,#N/A
8/13/12,0,30.6,15,2.8,sun,8/13/90,#N/A,#N/A,30.6,#N/A,#N/A
8/14/12,0,28.9,13.9,2.8,sun,8/14/90,#N/A,#N/A,28.9,#N/A,#N/A
8/15/12,0,31.1,16.7,4.7,sun,8/15/90,#N/A,#N/A,31.1,#N/A,#N/A
8/16/12,0,34.4,18.3,2.8,sun,8/16/90,#N/A,#N/A,34.4,#N/A,#N/A
8/17/12,0,32.8,16.1,1.8,sun,8/17/90,#N/A,#N/A,32.8,#N/A,#N/A
8/18/12,0,21.7,14.4,3,drizzle,8/18/90,21.7,#N/A,#N/A,#N/A,#N/A
8/19/12,0,23.3,15,2.7,drizzle,8/19/90,23.3,#N/A,#N/A,#N/A,#N/A
8/20/12,0,25.6,15,1.9,sun,8/20/90,#N/A,#N/A,25.6,#N/A,#N/A
8/21/12,0,23.3,13.3,3,rain,8/21/90,#N/A,23.3,#N/A,#N/A,#N/A
8/22/12,0,22.2,13.3,2.3,sun,8/22/90,#N/A,#N/A,22.2,#N/A,#N/A
8/23/12,0,21.1,13.9,3.8,sun,8/23/90,#N/A,#N/A,21.1,#N/A,#N/A
8/24/12,0,22.2,10,3.3,sun,8/24/90,#N/A,#N/A,22.2,#N/A,#N/A
8/25/12,0,26.1,11.7,3.2,sun,8/25/90,#N/A,#N/A,26.1,#N/A,#N/A
8/26/12,0,21.1,12.2,3.4,sun,8/26/90,#N/A,#N/A,21.1,#N/A,#N/A
8/27/12,0,23.9,13.3,1.8,sun,8/27/90,#N/A,#N/A,23.9,#N/A,#N/A
8/28/12,0,22.8,12.2,3.2,sun,8/28/90,#N/A,#N/A,22.8,#N/A,#N/A
8/29/12,0,22.8,13.3,2.4,sun,8/29/90,#N/A,#N/A,22.8,#N/A,#N/A
8/30/12,0,22.8,12.8,1.9,sun,8/30/90,#N/A,#N/A,22.8,#N/A,#N/A
8/31/12,0,22.2,10.6,2.9,sun,8/31/90,#N/A,#N/A,22.2,#N/A,#N/A
